Day;Hours;Price(DKK/Mwh)
19-01-2016;13 - 14;436.8
19-01-2016;14 - 15;416.5
19-01-2016;15 - 16;552.93
19-01-2016;16 - 17;997.57
19-01-2016;17 - 18;1369.59
19-01-2016;18 - 19;746.89
19-01-2016;19 - 20;429.56
19-01-2016;20 - 21;360.01
19-01-2016;21 - 22;281.35
19-01-2016;22 - 23;245.23
19-01-2016;23 - 00;217.02
20-01-2016;00 - 01;194.39
20-01-2016;01 - 02;190.66
20-01-2016;02 - 03;192.45
20-01-2016;03 - 04;184.99
20-01-2016;04 - 05;192.23
20-01-2016;05 - 06;198.05
20-01-2016;06 - 07;244.01
20-01-2016;07 - 08;421.17
20-01-2016;08 - 09;523.03
20-01-2016;09 - 10;485.19
20-01-2016;10 - 11;450.87
20-01-2016;11 - 12;429.23
20-01-2016;12 - 13;437.28
20-01-2016;13 - 14;429.67
20-01-2016;14 - 15;410.05
20-01-2016;15 - 16;400.79
20-01-2016;16 - 17;641
20-01-2016;17 - 18;823.9
20-01-2016;18 - 19;604.66
20-01-2016;19 - 20;522.58
20-01-2016;20 - 21;373.86
20-01-2016;21 - 22;298.94
20-01-2016;22 - 23;250.13
20-01-2016;23 - 00;221.1
21-01-2016;00 - 01;221.26
21-01-2016;01 - 02;207.61
21-01-2016;02 - 03;198.88
21-01-2016;03 - 04;201.19
21-01-2016;04 - 05;204.99
21-01-2016;05 - 06;222.46
21-01-2016;06 - 07;311.78
21-01-2016;07 - 08;1492.2
21-01-2016;08 - 09;1598.84
21-01-2016;09 - 10;1492.5
21-01-2016;10 - 11;970.57
21-01-2016;11 - 12;559.46
21-01-2016;12 - 13;458.12
21-01-2016;13 - 14;441.11
21-01-2016;14 - 15;447.82
21-01-2016;15 - 16;735.8
21-01-2016;16 - 17;1492.28
21-01-2016;17 - 18;1493.17
21-01-2016;18 - 19;1491.53
21-01-2016;19 - 20;459.76
21-01-2016;20 - 21;373.8
21-01-2016;21 - 22;271.19
21-01-2016;22 - 23;226.56
21-01-2016;23 - 00;206.26
22-01-2016;00 - 01;204.25
22-01-2016;01 - 02;203.35
22-01-2016;02 - 03;195.07
22-01-2016;03 - 04;195.66
22-01-2016;04 - 05;201.04
22-01-2016;05 - 06;209.99
22-01-2016;06 - 07;229.99
22-01-2016;07 - 08;599.75
22-01-2016;08 - 09;895.71
22-01-2016;09 - 10;894.97
22-01-2016;10 - 11;418.19
22-01-2016;11 - 12;373.87
22-01-2016;12 - 13;321.55
22-01-2016;13 - 14;283.05
22-01-2016;14 - 15;243.5
22-01-2016;15 - 16;243.65
22-01-2016;16 - 17;278.2
22-01-2016;17 - 18;372.45
22-01-2016;18 - 19;231.26
22-01-2016;19 - 20;200.59
22-01-2016;20 - 21;185.44
22-01-2016;21 - 22;178.43
22-01-2016;22 - 23;169.02
22-01-2016;23 - 00;167.38
23-01-2016;00 - 01;163.71
23-01-2016;01 - 02;162.29
23-01-2016;02 - 03;161.47
23-01-2016;03 - 04;162.51
23-01-2016;04 - 05;163.78
23-01-2016;05 - 06;163.41
23-01-2016;06 - 07;160.13
23-01-2016;07 - 08;168.63
23-01-2016;08 - 09;174.75
23-01-2016;09 - 10;182.29
23-01-2016;10 - 11;191.24
23-01-2016;11 - 12;194.08
23-01-2016;12 - 13;193.11
23-01-2016;13 - 14;185.42
23-01-2016;14 - 15;182.88
23-01-2016;15 - 16;183.56
23-01-2016;16 - 17;194.9
23-01-2016;17 - 18;203.93
23-01-2016;18 - 19;197.73
23-01-2016;19 - 20;189.15
23-01-2016;20 - 21;183.03
23-01-2016;21 - 22;173.78
23-01-2016;22 - 23;168.18
23-01-2016;23 - 00;169.45
24-01-2016;00 - 01;162.5
24-01-2016;01 - 02;156.23
24-01-2016;02 - 03;154.52
24-01-2016;03 - 04;153.55
24-01-2016;04 - 05;154.29
24-01-2016;05 - 06;157.28
24-01-2016;06 - 07;155.93
24-01-2016;07 - 08;159.67
24-01-2016;08 - 09;164.29
24-01-2016;09 - 10;163.69
24-01-2016;10 - 11;167.35
24-01-2016;11 - 12;168.84
24-01-2016;12 - 13;167.65
24-01-2016;13 - 14;166.01
24-01-2016;14 - 15;165.63
24-01-2016;15 - 16;168.54
24-01-2016;16 - 17;178.54
24-01-2016;17 - 18;189.96
24-01-2016;18 - 19;189.14
24-01-2016;19 - 20;179.81
24-01-2016;20 - 21;171.53
24-01-2016;21 - 22;166.83
24-01-2016;22 - 23;163.92
24-01-2016;23 - 00;162.05
25-01-2016;00 - 01;149.74
25-01-2016;01 - 02;146.61
25-01-2016;02 - 03;146.83
25-01-2016;03 - 04;149.07
25-01-2016;04 - 05;151.68
25-01-2016;05 - 06;159.07
25-01-2016;06 - 07;177.35
25-01-2016;07 - 08;224.35
25-01-2016;08 - 09;252.78
25-01-2016;09 - 10;204.95
25-01-2016;10 - 11;250.17
25-01-2016;11 - 12;214.58
25-01-2016;12 - 13;186
25-01-2016;13 - 14;209.06
25-01-2016;14 - 15;187.12
25-01-2016;15 - 16;185.63
25-01-2016;16 - 17;189.21
25-01-2016;17 - 18;200.92
25-01-2016;18 - 19;182.2
25-01-2016;19 - 20;169.14
25-01-2016;20 - 21;163.77
25-01-2016;21 - 22;158.77
25-01-2016;22 - 23;144
25-01-2016;23 - 00;135.12
26-01-2016;00 - 01;126.54
26-01-2016;01 - 02;122.51
26-01-2016;02 - 03;118.63
26-01-2016;03 - 04;118.7
26-01-2016;04 - 05;122.51
26-01-2016;05 - 06;126.54
26-01-2016;06 - 07;134.6
26-01-2016;07 - 08;140.42
