DayTraining;Day;Step;discEV;TransformerLoad;agentsCharging;meanBatttery;atHome;reward1;reward2;reward3;energyCosts;
65;1;77;0;32200.0;14;16527.285378240755;29;780.0;2.897941273265805;50.0;11.480000000000002;
65;1;78;0;29900.0;13;16795.618711574087;30;810.0;2.9721927654059135;50.0;10.660000000000002;
65;1;79;0;29900.0;13;17044.785378240755;30;830.0;2.9721927654059135;50.0;10.660000000000002;
65;1;80;0;25300.0;11;17286.042783036155;30;850.0;3.072345940850711;50.0;9.020000000000001;
65;1;81;0;6900.0;3;17486.15642865778;30;850.0;3.4729586426299024;50.0;2.46;
65;1;82;0;2300.0;1;17543.65642865778;30;860.0;3.5731118180746995;50.0;0.82;
65;1;83;0;0.0;0;17557.614360792326;30;860.0;3.6231884057970984;50.0;0.0;
65;1;84;0;0.0;0;17557.614360792326;30;860.0;3.6231884057970984;50.0;0.0;
65;1;85;0;2300.0;1;17557.614360792326;30;870.0;3.5731118180746995;50.0;0.82;
65;1;86;0;0.0;0;17562.079751094905;30;870.0;3.6231884057970984;50.0;0.0;
65;1;87;0;0.0;0;17562.079751094905;30;870.0;3.6231884057970984;50.0;0.0;
65;1;88;0;0.0;0;17562.079751094905;30;870.0;3.6231884057970984;50.0;0.0;
65;1;89;0;2300.0;1;17562.079751094905;30;870.0;3.6078173034694743;50.0;0.55;
65;1;90;0;2300.0;1;17581.24641776157;30;870.0;3.6078173034694743;50.0;0.55;
65;1;91;0;2300.0;1;17600.413084428237;30;870.0;3.6078173034694743;50.0;0.55;
65;1;92;0;2300.0;1;17619.579751094905;30;870.0;3.6078173034694743;50.0;0.55;
65;1;93;0;11500.0;5;17638.74641776157;30;890.0;4.054520358868182;50.0;1.4000000000000001;
65;1;94;0;11500.0;5;17734.579751094905;30;910.0;4.054520358868182;50.0;1.4000000000000001;
65;1;95;0;4600.0;2;17810.99288602956;30;910.0;3.795721187025532;50.0;0.56;
65;1;96;0;4600.0;2;17849.326219362894;30;910.0;3.795721187025532;50.0;0.56;
65;2;1;0;18400.0;8;17887.659552696226;30;910.0;4.313319530710832;50.0;2.24;
65;2;2;0;13800.0;6;18040.99288602956;30;930.0;4.140786749482398;50.0;1.6800000000000002;
65;2;3;0;13800.0;6;18154.111992142814;30;950.0;4.140786749482398;50.0;1.6800000000000002;
65;2;4;0;9200.0;4;18256.989799811425;30;970.0;3.9682539682539653;50.0;1.12;
65;2;5;0;2300.0;1;18318.263545429858;30;970.0;3.7094547964113147;50.0;0.28;
65;2;6;0;4600.0;2;18337.430212096526;30;980.0;3.795721187025532;50.0;0.56;
65;2;7;0;4600.0;2;18375.763545429858;30;980.0;3.795721187025532;50.0;0.56;
65;2;8;0;4600.0;2;18414.09687876319;30;980.0;3.795721187025532;50.0;0.56;
65;2;9;0;11500.0;5;18452.430212096526;30;990.0;4.054520358868182;50.0;1.4000000000000001;
65;2;10;0;16100.0;7;18548.263545429858;30;1000.0;4.227053140096616;50.0;1.9600000000000002;
65;2;11;0;13800.0;6;18682.430212096526;30;1010.0;4.140786749482399;50.0;1.6800000000000002;
65;2;12;0;11500.0;5;18786.27816567609;30;1010.0;4.054520358868182;50.0;1.4000000000000001;
65;2;13;0;9200.0;4;18882.11149900942;30;1020.0;3.9682539682539657;50.0;1.12;
65;2;14;0;4600.0;2;18939.817304157423;30;1040.0;3.795721187025532;50.0;0.56;
65;2;15;0;0.0;0;18966.139584617562;30;1040.0;3.6231884057970984;50.0;0.0;
65;2;16;0;0.0;0;18966.139584617562;30;1040.0;3.6231884057970984;50.0;0.0;
65;2;17;0;16100.0;7;18966.139584617562;30;1070.0;4.227053140096616;50.0;1.9600000000000002;
65;2;18;0;13800.0;6;19093.64859435944;30;1080.0;4.140786749482399;50.0;1.6800000000000002;
65;2;19;0;13800.0;6;19208.64859435944;30;1090.0;4.140786749482399;50.0;1.6800000000000002;
65;2;20;0;11500.0;5;19318.68287826026;30;1100.0;4.054520358868182;50.0;1.4000000000000001;
65;2;21;0;13800.0;6;19397.0105411173;30;1100.0;4.140786749482399;50.0;1.6800000000000002;
65;2;22;0;13800.0;6;19512.0105411173;30;1100.0;4.140786749482399;50.0;1.6800000000000002;
65;2;23;0;13800.0;6;19627.0105411173;30;1110.0;4.140786749482399;50.0;1.6800000000000002;
65;2;24;0;11500.0;5;19737.796049994173;30;1100.0;3.933747412008279;50.0;1.4000000000000001;
65;2;25;0;4600.0;2;19650.150043538833;29;1110.0;3.801670593274788;50.0;0.56;
65;2;26;0;2300.0;1;19679.234251319205;29;1070.0;3.5874919683015607;50.0;0.28;
65;2;27;0;2300.0;1;19547.048018741054;28;1000.0;3.456817509612538;50.0;0.28;
65;2;28;0;0.0;0;19235.852662411347;26;760.0;2.7870680044593077;50.0;0.0;
65;2;29;0;4600.0;2;18295.015533885842;20;400.0;2.251552795031056;50.0;0.56;
65;2;30;0;6900.0;3;16912.079901379646;11;0.0;0.0;50.0;0.8400000000000001;
65;2;31;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;32;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;33;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;34;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;35;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;36;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;37;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;38;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;39;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
